id;uuid;buffer_data;buffer_data_content_type;buffer_number;path
1;bda911cb-11cf-4c34-9b66-dcfa37aeec7a;../fake-data/blob/hipster.png;image/png;66204;Steel connect Kuna
2;c879dd61-494f-4f44-9864-a7a3e21b896f;../fake-data/blob/hipster.png;image/png;63807;Account
3;57810f35-a29e-49f0-9572-444f81079116;../fake-data/blob/hipster.png;image/png;90555;connect Fish Customer
4;8b1cb180-8906-43cb-972b-674e30779974;../fake-data/blob/hipster.png;image/png;48891;transmit invoice navigate
5;d6770ded-8288-4eab-a393-98d751cb0c20;../fake-data/blob/hipster.png;image/png;72634;withdrawal Fish e-markets
6;ea31d6f2-359d-4ae3-82fc-ac9a8878923b;../fake-data/blob/hipster.png;image/png;88154;real-time override
7;62ce30d7-4d28-48f3-a4df-6833da7a25ed;../fake-data/blob/hipster.png;image/png;58310;Cotton Car
8;26db46cc-325f-4c7f-ab0a-228ee6118b45;../fake-data/blob/hipster.png;image/png;90200;Solutions non-volatile e-commerce
9;0b86e785-aadd-413e-bd4f-d03f5dee3842;../fake-data/blob/hipster.png;image/png;74218;circuit Maine moderator
10;aab8123e-2a61-4183-841c-a580086e3cf1;../fake-data/blob/hipster.png;image/png;51109;Dynamic Movies Missouri
